cough_rate;sweating;virus_resistance
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1.308713;1;1
1.308713;1;1
1.205808;1;1
1.205808;1;1
1.154356;1;0.9806406
1.154356;1;0.9806406
1.2071;1;0.9845125
1.256613;1;1
1.290715;0.8246872;1
1.290715;0.8246872;1
1.258875;0.7808589;1
1.075228;0.7808589;1
1.075228;0.7808589;1
1.143797;0.6493743;1
1.120365;0.6493743;1
1.100304;0.7078119;1
1.100304;0.7078119;1
1.120365;0.6493743;1
1.179747;0.5617179;1
1.179747;0.5617179;1
1.179747;0.5617179;1
1.120365;0.7417737;1
1.120365;0.7417737;1
1.031292;1.011858;1
0.9904714;0.9218296;1
0.9806864;1.002146;1
0.9350051;0.9343877;1
0.9287918;0.9590217;1
0.9024228;0.9615828;1
0.9378373;1.052661;1
0.8987089;0.9581288;1.050777
0.8681579;1.007228;1.053764
0.8509461;1.09134;1.057124
0.8394976;1.062465;1.057124
0.8797106;1.06663;1.060933
0.9078455;1.058551;1.070307
0.9078455;1.058551;1.070307
0.9078455;1.058551;1.070307
0.8653264;1.066262;1.076166
0.8455558;1.05814;1.070307
0.8554297;1.072286;1.08309
0.8963147;1.009119;1.057753
0.895278;1.043956;1.05331
0.9523569;1.073816;1.049502
0.9073898;1.079494;1.05331
0.9073898;1.079494;1.05331
0.9073898;1.079494;1.05331
0.9836122;1.132241;1.05331
1.008656;1.155795;1.049502
0.9529313;1.101885;1.091399
0.8834931;1.055686;1.029158
0.8834931;1.055686;1.029158
0.870548;1.061873;1.101555
0.8834931;1.062242;1.091399
0.8834931;1.062242;1.091399
0.870548;1.061873;1.101555
0.9241427;1.076104;1.076166
0.9722199;1.132782;1.091399
0.9821513;1.096202;1.101555
0.9722198;1.076022;1.091399
0.9879119;1.146848;1.114249
0.976237;1.161642;1.203109
0.9632189;1.212975;1.203109
0.9732665;1.181848;1.228498
0.9632189;1.212975;1.132066
0.9632189;1.192753;1.304664
0.9551808;1.219677;1.274198
0.9551808;1.219677;1.274198
0.9551808;1.219677;1.274198
0.897483;1.216847;1.342747
0.8958557;1.288988;1.304664
0.9023647;1.422017;1.304664
0.9023647;1.422017;1.304664
0.9023647;1.422017;1.304664
0.9023647;1.422017;1.304664
0.9062701;1.41402;1.365597
0.9023647;1.509053;1.456996
0.9023647;1.509053;1.456996
0.8863096;1.524253;1.548395
0.8863096;1.524253;1.548395
0.8863096;1.564664;1.548395
0.8863096;1.564664;1.548395
0.8863096;1.494242;1.548395
0.7620777;1.551615;1.664721
0.7352421;1.526629;1.710883
0.7167927;1.484193;1.799743
0.8187972;1.443354;1.822592
0.8246191;1.428503;1.830902
0.7779788;1.484683;1.843685
0.7589136;1.521899;1.830902
0.7090104;1.513263;1.837826
0.7090104;1.513263;1.837826
0.7515867;1.544989;1.792126
0.7313455;1.394754;1.773378
0.7187212;1.404317;1.76166
0.7089577;1.42765;1.837826
0.6931505;1.441073;1.830902
0.7089577;1.42765;1.837826
0.7089577;1.42765;1.837826
0.6931505;1.441073;1.830902
0.6486748;1.42765;1.837826
0.6796405;1.419557;1.840806
0.6796405;1.419557;1.840806
0.6796405;1.419557;1.840806
0.7196557;1.430292;1.835177
0.757757;1.478743;1.891482
0.6796857;1.492939;1.897774
0.6450452;1.487961;1.898855
0.679731;1.502816;1.897774
0.7310277;1.502816;1.897774
0.774947;1.50932;1.896527
0.8434871;1.50932;1.896527
0.9166728;1.486057;1.896527
0.8360593;1.603734;1.846705
0.6607297;1.694839;1.850246
0.7349779;1.732787;1.850246
0.7349779;1.732787;1.850246
0.760098;1.725623;1.842747
0.7669168;1.752413;1.846705
0.647751;1.818419;1.853434
0.7441265;1.826713;1.861332
0.9171638;1.777475;1.861332
0.8835514;1.781077;1.825879
0.9807451;1.716108;1.822208
0.9759276;1.77668;1.728331
0.9653012;1.753024;1.728331
0.8296601;1.800592;1.705124
0.8296601;1.800592;1.705124
0.8296601;1.800592;1.705124
0.7001522;1.847779;1.739884
0.6936816;1.851777;1.793823
0.6245151;1.873768;1.789201
0.6741467;1.712638;1.738352
0.6364289;1.732469;1.711621
0.8000384;1.644092;1.697657
0.7088657;1.648378;1.681059
0.4788784;1.773407;1.754002
0.3688401;1.841608;1.772915
0.2997313;1.875047;1.797917
0.304777;1.860637;1.800315
0.2445764;1.907618;1.871779
0.2697634;1.918232;1.820415
0.3512702;1.921644;1.827613
0.3763512;1.917966;1.805907
0.4044519;1.904584;1.800206
0.3433621;1.924574;1.808682
0.3587799;1.948426;1.814368
0.3513466;1.934243;1.816322
0.3836308;1.941393;1.819158
0.3881932;1.933924;1.791001
0.4165466;1.903819;1.813727
0.3750373;1.89958;1.797073
0.3748557;1.906627;1.813727
0.3634008;1.876732;1.852185
0.4061888;1.914675;1.855257
0.4007834;1.918938;1.89126
0.4207589;1.919667;1.89126
0.4269126;1.949014;1.889653
0.4002696;1.935869;1.873332
0.4603257;1.922465;1.877551
0.4532414;1.916594;1.861342
0.4688324;1.89475;1.850817
0.5353914;1.884249;1.879889
0.476051;1.924232;1.861365
0.5198286;1.911568;1.855847
0.5455882;1.88851;1.855846
0.5632803;1.897172;1.798635
0.545947;1.935123;1.729559
0.6177263;1.912783;1.704515
0.5305189;1.937811;1.704515
0.4784858;1.936284;1.642523
0.4879193;1.941585;1.658352
0.6006547;1.916976;1.665238
0.5665115;1.952491;1.598895
0.5643557;1.94814;1.606436
0.6562104;1.934288;1.603534
0.6631052;1.939394;1.579491
0.7037997;1.908524;1.541284
0.7354156;1.90062;1.536823
0.7204074;1.916565;1.490324
0.7321383;1.900543;1.453765
0.6906956;1.926023;1.438267
0.6603776;1.969864;1.4317
0.6554509;1.973518;1.459185
0.5710154;1.993551;1.436687
0.560302;2.008868;1.398084
0.5469742;2.025142;1.3762
0.5318635;2.037088;1.385928
0.5309507;2.040944;1.368181
0.5262931;2.044505;1.340361
0.5208055;2.048205;1.324953
0.5345116;2.06037;1.281662
0.5062302;2.079064;1.198405
0.5101664;2.075224;1.176929
0.4393667;2.093409;1.106594
0.4521217;2.093409;1.084882
0.4449241;2.100269;1.043471
0.4434578;2.085293;1.031057
0.4323037;2.087121;1.048061
0.4449121;2.087584;0.9986847
0.4739026;2.088296;0.9704747
0.4703816;2.111281;0.9686087
0.4467488;2.11782;0.9140437
0.464566;2.134982;0.8657559
0.4580705;2.145404;0.8291869
0.4407921;2.159315;0.7831367
0.4414982;2.155286;0.7464017
0.4616101;2.151017;0.7085207
0.4858839;2.143144;0.7140724
0.482235;2.154356;0.7090725
0.4650534;2.149374;0.7294541
0.4969276;2.157892;0.6158583
0.4967115;2.160388;0.6091251
0.4921505;2.16181;0.6105053
0.5042157;2.154595;0.5834536
0.5153781;2.161115;0.5753388
0.4929387;2.178415;0.537689
0.4837154;2.177819;0.4858811
0.4793895;2.182435;0.4679011
0.458414;2.193582;0.4618236
0.437554;2.222975;0.4385278
0.4395351;2.219703;0.4231221
0.4408401;2.218971;0.4123937
0.4408401;2.218971;0.4123937
0.4408401;2.218971;0.4123937
0.4192378;2.22168;0.3949091
0.398788;2.232677;0.3682716
0.392591;2.23491;0.377978
0.3852918;2.247127;0.3589933
0.3804256;2.243744;0.3462163
0.3584169;2.251504;0.311974
0.3763218;2.243201;0.3333231
0.3848779;2.243065;0.3133828
0.3809736;2.250347;0.2780812
0.3836476;2.248457;0.2612841
0.377151;2.239267;0.2651488
0.3538839;2.25822;0.2368772
0.3522274;2.26316;0.2343247
0.3614109;2.260056;0.2059945
0.3614109;2.260056;0.2059945
0.3476992;2.268505;0.1835478
0.3540598;2.268167;0.1685004
0.3337997;2.287714;0.1388939
0.3368501;2.285084;0.1365533
0.3311333;2.296162;0.1291098
0.3296713;2.300777;0.1324948
0.3341999;2.307397;0.1308485
0.3478361;2.310138;0.0944422
0.3457243;2.320046;0.105181
0.3257932;2.333013;0.08349585
0.3257932;2.333013;0.08349585
0.3337323;2.333234;0.06840307
0.3349388;2.343658;0.06763561
0.3361248;2.34776;0.06309067
0.3293197;2.348651;0.04052535
0.3319116;2.361243;0.03882049
0.3319439;2.357796;0.03798919
0.3500181;2.35825;0.04258633
0.3333681;2.364139;0.01852434
0.315528;2.373099;-0.008142832
0.3193876;2.370867;-0.009014764
0.3193876;2.370867;-0.009014764
0.3193876;2.370867;-0.009014764
0.320601;2.374551;-0.009114548
0.3104369;2.38345;-0.02927193
0.3104369;2.38345;-0.02927193
0.3123676;2.384305;-0.05221079
0.3139737;2.384532;-0.05228785
0.3139737;2.384532;-0.05228785
0.3167402;2.37992;-0.06827386
0.3167402;2.37992;-0.06827386
0.3192706;2.383763;-0.07110193
0.3192706;2.383763;-0.07110193
0.3192706;2.383763;-0.07110193
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.3211616;2.388179;-0.07626671
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.322372;2.388371;-0.07622466
0.3081141;2.392263;-0.1152347
0.3081141;2.392263;-0.1152347
0.3081141;2.392263;-0.1152347
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3069392;2.395476;-0.1148104
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.3057828;2.404269;-0.1143927
0.295743;2.413191;-0.1349058
0.295743;2.413191;-0.1349058
0.295743;2.413191;-0.1349058
0.295743;2.413191;-0.1349058
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
0.2936263;2.417184;-0.1343299
