at_home;at_hospital;wandering;chasing;going_home;going_to_hospital
0;0;127;0;0;0
0;0;127;0;0;0
0;0;127;0;0;0
0;0;126;1;0;0
0;0;125;2;0;0
0;0;125;2;0;0
0;0;123;3;1;0
0;0;117;3;7;0
0;0;105;7;15;0
0;0;93;6;28;0
1;0;83;5;38;0
2;0;73;4;48;0
7;0;50;4;66;0
9;0;28;2;88;0
7;0;23;3;94;0
16;0;15;0;96;0
18;0;19;1;89;0
27;0;25;1;74;0
29;0;37;1;60;0
31;0;48;2;46;0
30;0;59;3;35;0
33;0;69;3;22;0
31;0;75;3;18;0
20;0;84;4;19;0
10;0;90;3;24;0
6;0;87;3;31;0
10;0;80;3;34;0
8;0;65;3;51;0
4;0;60;2;61;0
8;0;50;1;68;0
11;0;42;1;73;0
12;0;36;0;79;0
22;0;34;0;71;0
31;0;33;0;63;0
27;0;44;1;55;0
27;0;50;2;48;0
25;0;60;2;40;0
22;0;64;2;39;0
27;0;70;2;28;0
25;0;76;1;25;0
19;0;83;1;24;0
15;0;83;0;29;0
15;0;79;0;33;0
15;0;67;0;45;0
10;0;62;0;55;0
6;0;56;0;65;0
10;0;55;0;62;0
13;0;48;0;66;0
14;0;41;0;72;0
26;0;39;0;62;0
27;0;41;0;59;0
34;0;45;0;48;0
29;0;51;0;47;0
28;0;61;0;38;0
27;0;66;0;34;0
21;0;72;0;34;0
19;0;77;0;31;0
18;0;76;2;31;0
17;0;74;2;34;0
10;0;70;2;45;0
10;0;65;1;51;0
13;0;57;0;57;0
14;0;50;0;63;0
14;0;44;0;69;0
23;0;44;0;60;0
26;0;43;0;58;0
29;0;47;0;51;0
28;0;51;0;48;0
27;0;60;0;40;0
24;0;62;0;41;0
20;0;71;0;36;0
13;0;78;0;36;0
12;0;70;0;45;0
17;0;70;1;39;0
19;0;64;2;42;0
24;0;58;2;43;0
16;0;58;2;51;0
15;0;54;1;57;0
19;0;49;1;58;0
23;0;48;1;55;0
24;0;49;0;54;0
28;0;51;1;47;0
26;0;58;0;43;0
17;0;69;0;41;0
16;0;68;0;43;0
24;0;66;0;37;0
24;0;65;1;37;0
22;0;72;0;33;0
12;0;72;1;42;0
10;0;68;0;49;0
15;0;59;0;53;0
15;0;56;1;55;0
15;0;57;1;54;0
17;0;55;1;54;0
17;0;53;1;56;0
24;0;45;1;57;0
25;0;44;1;57;0
24;0;46;2;55;0
26;0;50;1;50;0
22;0;56;1;48;0
25;0;59;1;42;0
21;0;64;1;41;0
26;0;66;1;34;0
22;0;65;1;39;0
23;0;65;2;37;0
22;0;63;2;40;0
20;0;64;1;42;0
11;0;69;1;46;0
9;0;63;1;54;0
11;0;55;2;59;0
10;0;58;1;58;0
19;0;52;2;54;0
19;0;47;2;59;0
27;0;41;1;58;0
31;0;41;1;54;0
31;0;43;2;51;0
24;0;45;2;56;0
18;0;54;3;52;0
20;0;58;3;46;0
23;0;64;2;38;0
31;0;63;2;31;0
26;0;70;3;28;0
18;0;67;3;39;0
10;0;71;2;44;0
9;0;69;1;48;0
16;0;64;1;46;0
13;0;56;3;55;0
16;0;49;3;59;0
17;0;48;3;59;0
21;0;43;2;61;0
23;0;42;1;61;0
27;0;40;1;59;0
32;0;45;0;50;0
24;0;52;1;50;0
23;0;62;0;42;0
26;0;63;0;38;0
30;0;67;0;30;0
24;0;73;1;29;0
17;0;77;2;31;0
16;0;74;2;35;0
15;0;66;2;44;0
13;0;65;2;47;0
11;0;61;2;53;0
14;0;55;0;58;0
17;0;50;0;60;0
17;0;47;0;63;0
20;0;47;0;60;0
23;0;43;0;61;0
28;0;48;0;51;0
33;0;51;0;43;0
25;0;58;1;43;0
21;0;64;1;41;0
26;0;63;0;38;0
21;0;66;1;39;0
18;0;69;0;40;0
19;0;65;0;43;0
22;0;63;1;41;0
19;0;61;2;45;0
14;0;63;1;49;0
14;0;58;1;54;0
15;0;50;2;60;0
17;0;51;2;57;0
25;0;49;0;53;0
27;0;50;0;50;0
24;0;54;0;49;0
25;0;57;0;45;0
23;0;62;0;42;0
22;0;68;0;37;0
22;0;69;0;36;0
17;0;66;0;44;0
17;0;61;0;49;0
18;0;58;0;51;0
14;0;51;1;61;0
18;0;52;1;56;0
21;0;48;1;57;0
25;0;47;1;54;0
26;0;46;1;54;0
30;0;47;1;49;0
33;0;48;1;45;0
25;0;60;0;42;0
20;0;64;2;41;0
23;0;67;2;35;0
21;0;67;1;38;0
16;0;68;1;42;0
19;0;69;1;38;0
16;0;67;2;42;0
16;0;61;2;48;0
19;0;59;2;47;0
23;0;59;1;44;0
21;0;59;1;46;0
19;0;60;1;47;0
22;0;63;1;41;0
24;0;57;0;46;0
17;0;58;2;50;0
17;0;58;1;51;0
17;0;59;0;51;0
16;0;57;0;54;0
19;0;56;0;52;0
21;0;57;0;49;0
21;0;57;0;49;0
28;0;54;0;45;0
26;0;56;0;45;0
19;0;64;1;43;0
16;0;74;2;35;0
18;0;71;2;36;0
22;0;70;2;33;0
16;0;68;2;41;0
12;0;71;2;42;0
13;0;59;1;54;0
16;0;61;2;48;0
16;0;60;3;48;0
18;0;65;3;41;0
22;0;64;3;38;0
19;0;67;2;39;0
20;0;65;2;40;0
15;0;67;2;43;0
9;0;71;2;45;0
18;0;72;1;36;0
17;0;74;1;35;0
13;0;75;1;38;0
14;0;73;1;39;0
14;0;72;2;39;0
15;0;76;2;34;0
14;0;72;3;38;0
10;0;75;2;40;0
12;0;69;2;44;0
12;0;69;2;44;0
15;0;64;1;47;0
17;0;59;1;50;0
12;0;63;0;52;0
17;0;60;1;49;0
16;0;60;2;49;0
19;0;64;2;42;0
20;0;68;2;37;0
16;0;71;3;37;0
18;0;67;3;39;0
18;0;67;3;39;0
17;0;73;2;35;0
16;0;70;2;39;0
12;0;74;2;39;0
10;0;79;2;36;0
13;0;80;1;33;0
14;0;76;0;37;0
9;0;81;1;36;0
10;0;86;1;30;0
15;0;79;2;31;0
12;0;72;4;39;0
13;0;70;5;39;0
15;0;69;5;38;0
15;0;72;4;36;0
7;0;74;4;42;0
7;0;75;3;42;0
14;0;65;4;44;0
16;0;65;4;42;0
14;0;65;4;44;0
8;0;70;3;46;0
10;0;71;3;43;0
15;0;65;4;43;0
14;0;65;4;44;0
16;0;69;4;38;0
17;0;66;5;39;0
14;0;71;5;37;0
14;0;77;5;31;0
15;0;75;5;32;0
8;0;81;4;34;0
9;0;78;7;33;0
14;0;74;4;35;0
10;0;82;4;31;0
10;0;83;3;31;0
9;0;85;3;30;0
8;0;84;4;31;0
12;0;82;3;30;0
6;0;80;4;37;0
9;0;81;4;33;0
13;0;78;4;32;0
9;0;77;3;38;0
12;0;74;3;38;0
18;0;69;3;37;0
9;0;75;3;40;0
10;0;70;3;44;0
11;0;64;3;49;0
8;0;67;3;49;0
13;0;70;3;41;0
16;0;66;2;43;0
15;0;69;1;42;0
9;0;74;2;42;0
10;0;79;1;37;0
13;0;77;1;36;0
13;0;79;2;33;0
11;0;80;4;32;0
9;0;86;4;28;0
7;0;82;4;34;0
9;0;84;4;30;0
14;0;79;2;32;0
12;0;80;2;33;0
10;0;83;2;32;0
7;0;84;2;34;0
6;0;79;2;40;0
12;0;77;2;36;0
10;0;76;2;39;0
15;0;69;2;41;0
13;0;70;2;42;0
4;0;74;2;47;0
6;0;74;2;45;0
10;0;69;2;46;0
11;0;63;2;51;0
18;0;64;2;43;0
12;0;68;2;45;0
14;0;71;2;40;0
17;0;70;2;38;0
13;0;77;3;34;0
9;0;81;5;32;0
12;0;84;5;26;0
14;0;83;6;24;0
11;0;85;5;26;0
6;0;88;3;30;0
7;0;81;3;36;0
10;0;77;1;39;0
10;0;80;1;36;0
6;0;84;1;36;0
7;0;83;1;36;0
11;0;82;1;33;0
8;0;76;1;42;0
11;0;77;1;38;0
15;0;73;0;39;0
11;0;72;0;44;0
10;0;68;0;49;0
10;0;75;0;42;0
11;0;67;0;49;0
10;0;70;0;47;0
11;0;67;0;49;0
12;0;71;0;44;0
13;0;71;0;43;0
17;0;78;0;32;0
21;0;80;0;26;0
15;0;85;0;27;0
10;0;89;0;28;0
12;0;90;0;25;0
6;0;93;0;28;0
3;0;95;0;29;0
5;0;82;0;40;0
9;0;82;0;36;0
8;0;85;0;34;0
7;0;86;0;34;0
9;0;81;0;37;0
6;0;82;0;39;0
9;0;81;0;37;0
7;0;81;0;39;0
6;0;73;0;48;0
11;0;73;0;43;0
13;0;65;0;49;0
12;0;66;0;49;0
9;0;61;0;57;0
11;0;62;0;54;0
14;0;65;0;48;0
15;0;67;0;45;0
13;0;74;0;40;0
13;0;77;0;37;0
17;0;82;0;28;0
18;0;85;0;24;0
8;0;94;0;25;0
5;0;94;0;28;0
10;0;89;0;28;0
8;0;87;0;32;0
7;0;87;0;33;0
5;0;86;0;36;0
5;0;84;0;38;0
3;0;86;0;38;0
5;0;85;0;37;0
14;0;78;0;35;0
10;0;80;0;37;0
10;0;82;0;35;0
14;0;67;0;46;0
11;0;70;0;46;0
12;0;69;0;46;0
11;0;65;0;51;0
11;0;63;0;53;0
14;0;65;0;48;0
16;0;70;0;41;0
13;0;77;0;37;0
9;0;78;0;40;0
12;0;79;0;36;0
15;0;76;0;36;0
15;0;82;0;30;0
13;0;87;0;27;0
5;0;93;0;29;0
11;0;90;0;26;0
10;0;90;0;27;0
6;0;85;0;36;0
6;0;87;0;34;0
8;0;81;0;38;0
10;0;84;0;33;0
9;0;88;0;30;0
7;0;83;0;37;0
9;0;79;0;39;0
11;0;74;0;42;0
12;0;76;0;39;0
6;0;77;0;44;0
8;0;76;0;43;0
15;0;72;0;40;0
16;0;70;0;41;0
10;0;77;0;40;0
10;0;80;0;37;0
11;0;79;0;37;0
9;0;74;0;44;0
13;0;80;0;34;0
13;0;81;0;33;0
10;0;79;0;38;0
11;0;75;0;41;0
9;0;77;0;41;0
13;0;76;0;38;0
11;0;77;0;39;0
7;0;79;0;41;0
11;0;81;0;35;0
12;0;82;0;33;0
10;0;84;0;33;0
12;0;82;0;33;0
12;0;80;0;35;0
9;0;83;0;35;0
9;0;83;0;35;0
7;0;81;0;39;0
8;0;81;0;38;0
12;0;81;0;34;0
9;0;78;0;40;0
8;0;81;0;38;0
6;0;80;0;41;0
8;0;77;0;42;0
12;0;75;0;40;0
12;0;76;0;39;0
10;0;73;0;44;0
6;0;71;0;50;0
9;0;72;0;46;0
13;0;72;0;42;0
14;0;74;0;39;0
17;0;73;0;37;0
9;0;77;0;41;0
10;0;78;0;39;0
9;0;79;0;39;0
12;0;80;0;35;0
14;0;79;0;34;0
11;0;79;0;37;0
9;0;78;0;40;0
10;0;75;0;42;0
13;0;78;0;36;0
13;0;78;0;36;0
4;0;84;0;39;0
5;0;85;0;37;0
12;0;80;0;35;0
11;0;77;0;39;0
12;0;79;0;36;0
11;0;77;0;39;0
7;0;79;0;41;0
11;0;80;0;36;0
16;0;75;0;36;0
14;0;78;0;35;0
8;0;80;0;39;0
8;0;82;0;37;0
12;0;82;0;33;0
9;0;84;0;34;0
9;0;79;0;39;0
14;0;80;0;33;0
14;0;79;0;34;0
8;0;86;0;33;0
6;0;88;0;33;0
6;0;86;0;35;0
8;0;80;0;39;0
13;0;76;0;38;0
8;0;76;0;43;0
8;0;74;0;45;0
